"","X","Site_Name","Site_ID","Section","Month","Type","Date","Interaction_recorded..Y.N.","SpecimenCaught","UniqueID","EntryOrder","Day","Month.1","Year","Week","SampleDate","Surveyor","HabitatType","Survey","Site","HabitatType.Survey.Site","ITMx","ITMy","WGS84.ETRS89","WGS84.ETRS89.1","PlantSpecies","FlowerVisitorSpecies","Pollinator_caught","VisitorGroup","Genus","Sex","VisitationFrequency","FlowerAbundancePerPlantSpecies","MaxFlowerSize.mm.","FloralArea","Introduced.","Visitation.Rate","FlowerAbundanceTotal","TransectTime.mins.","AreaSampledm2","Rate","Groups.of.flower.visitors.registered..All.species..Only.bees..Bees.and.hoverflies..Bees.and.flies..etc.","InsectActivityRecorded..Feeding.or.Both.Feeding.and.F.lying","Site_Section","Site_Section_Month","gradient","gradienttype","groupfactor"
"2048",2048,"Ardgillan",10,"Dis.Low","June","Semi Natural","10.6.18","Y","N",NA,2846,10,6,18,7,"10.6.18","Cian White","WL1",2,"An","WL1An",721522,760750,NA,NA,"Papaver.somniferum","Diptera","O","Diptera",NA,"F",1,3,100,300,"",0.003333333,NA,8,52,6.5,"","","ArdgillanDis.Low","ArdgillanDis.LowJune","","Semi Natural ",NA
"2049",2049,"Ardgillan",10,"Dis.Low","June","Semi Natural","10.6.18","Y","Y",20181404,2847,10,6,18,7,"10.6.18","Cian White","WL1",2,"An","WL1An",721522,760750,NA,NA,"Cerastium.tomentosum","Syritta.pipiens","Y","Syrphid","Syritta","M",1,400,20,8000,"",0.000125,NA,8,52,6.5,"","","ArdgillanDis.Low","ArdgillanDis.LowJune","","Semi Natural ",NA
"2050",2050,"Ardgillan",10,"Wetland","June","Semi Natural","10.6.18","Y","N",NA,2849,10,6,18,7,"10.6.18","Cian White","GS2",2,"An","GS2An",721522,760750,NA,NA,"Vicia.sepium","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,200,34,6800,"",0.000147059,NA,8,52,6.5,"","","ArdgillanWetland","ArdgillanWetlandJune","","Semi Natural ","bees"
"2051",2051,"Ardgillan",10,"Wetland","June","Semi Natural","10.6.18","Y","N",NA,2850,10,6,18,7,"10.6.18","Cian White","GS2",2,"An","GS2An",721522,760750,NA,NA,"Rubus.fruticosus","Apis.mellifera","O","Honey.Bee","Apis","F",2,70,30,2100,"",0.000952381,NA,8,52,6.5,"","","ArdgillanWetland","ArdgillanWetlandJune","","Semi Natural ","bees"
"2052",2052,"Ardgillan",10,"Wetland","June","Semi Natural","10.6.18","Y","Y",20181405,2851,10,6,18,7,"10.6.18","Cian White","GS2",2,"An","GS2An",721522,760750,NA,NA,"Vicia.sativa","Bombus.pratorum","Y","Bumble.Bee","Bombus","F",1,15,30,450,"",0.002222222,NA,8,52,6.5,"","","ArdgillanWetland","ArdgillanWetlandJune","","Semi Natural ","bees"
"2053",2053,"Ardgillan",10,"Wetland","June","Semi Natural","10.6.18","Y","N",NA,2852,10,6,18,7,"10.6.18","Cian White","GS2",2,"An","GS2An",721522,760750,NA,NA,"Rubus.fruticosus","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,70,30,2100,"",0.00047619,NA,8,52,6.5,"","","ArdgillanWetland","ArdgillanWetlandJune","","Semi Natural ","bees"
"2054",2054,"Ardgillan",10,"Wetland","June","Semi Natural","10.6.18","Y","N",NA,2853,10,6,18,7,"10.6.18","Cian White","GS2",2,"An","GS2An",721522,760750,NA,NA,"Rubus.fruticosus","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,70,30,2100,"",0.00047619,NA,8,52,6.5,"","","ArdgillanWetland","ArdgillanWetlandJune","","Semi Natural ","bees"
"2055",2055,"Ardgillan",10,"Pasture1","June","Semi Natural","10.6.18","N",NA,NA,2854,10,6,18,7,"10.6.18","Cian White","BC1",2,"An","BC1An",721522,760750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,500,33.33333333,"","","ArdgillanPasture1","ArdgillanPasture1June","","Semi Natural ",NA
"2056",2056,"Ardgillan",10,"Pasture2","June","Semi Natural","10.6.18","N",NA,NA,2855,10,6,18,7,"10.6.18","Cian White","GA1",2,"An","GA1An",721522,760750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,500,33.33333333,"","","ArdgillanPasture2","ArdgillanPasture2June","","Semi Natural ",NA
"2057",2057,"Ardgillan",10,"Dis.Medium","June","Semi Natural","10.6.18","N",NA,NA,2856,10,6,18,7,"10.6.18","Cian White","GS2",2,"An","GS2An",721522,760750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,62,20.66666667,"","","ArdgillanDis.Medium","ArdgillanDis.MediumJune","","Semi Natural ",NA
"2058",2058,"Ardgillan",10,"Arable","June","Semi Natural","10.6.18","N",NA,NA,2857,10,6,18,7,"10.6.18","Cian White","BC1",2,"An","BC1An",721522,760750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,134,16.75,"","","ArdgillanArable","ArdgillanArableJune","","Semi Natural ",NA
"2059",2059,"Ardgillan",10,"Dis.Dense","June","Semi Natural","10.6.18","N",NA,NA,2858,10,6,18,7,"10.6.18","Cian White","BC4",2,"An","BC4An",721522,760750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,52,7.428571429,"","","ArdgillanDis.Dense","ArdgillanDis.DenseJune","","Semi Natural ",NA
"2060",2060,"Ardgillan",10,"Sports","June","Semi Natural","10.6.18","N",NA,NA,2859,10,6,18,7,"10.6.18","Cian White","GA2",2,"An","GA2An",721522,760750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,104,10.4,"","","ArdgillanSports","ArdgillanSportsJune","","Semi Natural ",NA
"2061",2061,"Newbridge.Demesne",12,"Forest","June","Semi Natural","18.6.18","N",NA,NA,2860,18,6,18,8,"18.6.18","Cian White","WD1",2,"ND","WD1ND",721522,749810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,62,20.66666667,"","","Newbridge.DemesneForest","Newbridge.DemesneForestJune","","Semi Natural ",NA
"2062",2062,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181406,2861,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Lotus.corniculatus","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,200,16,3200,"",0.0003125,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ","bees"
"2063",2063,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181407,2862,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Vicia.sepium","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",3,803,34,27302,"",0.000109882,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ","bees"
"2064",2064,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","N",NA,2866,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Ranunculus.acris","Diptera","O","Diptera",NA,"F",5,1440,25,36000,"",0.000138889,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ",NA
"2065",2065,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181409,2867,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Stellaria.graminea","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,1200,18,21600,"",4.63e-05,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ","bees"
"2066",2066,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181410,2868,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Heracleum.sphondylium","Apis.mellifera","Y","Honey.Bee","Apis","F",1,45,200,9000,"",0.000111111,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ","bees"
"2067",2067,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","N",NA,2869,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Ranunculus.acris","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,1440,25,36000,"",2.78e-05,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ","bees"
"2068",2068,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181411,2870,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Ranunculus.acris","Tenthredo.sp","Y","Symphata","Tenthredo","F",5,1440,25,36000,"",0.000138889,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ",NA
"2069",2069,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","N",NA,2871,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Ranunculus.acris","Lepidoptera","O","Lepidoptera",NA,"F",1,1440,25,36000,"",2.78e-05,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ",NA
"2070",2070,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181635,2872,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Ranunculus.acris","Heliophilus.pendulus","Y","Syrphid","Heliophilus","M",1,1400,25,35000,"",2.86e-05,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ",NA
"2071",2071,"Newbridge.Demesne",12,"Herbaceous","June","Semi Natural","18.6.18","Y","Y",20181412,2873,18,6,18,8,"18.6.18","Cian White","GS1",2,"ND","GS1ND",721522,749810,NA,NA,"Ranunculus.acris","Sphaerophoria(agg)","Y","Syrphid","Sphaerophoria","M",1,1440,25,36000,"",2.78e-05,NA,9,350,38.88888889,"","","Newbridge.DemesneHerbaceous","Newbridge.DemesneHerbaceousJune","","Semi Natural ",NA
"2072",2072,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2874,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Rubus.fruticosus","Apis.mellifera","O","Honey.Bee","Apis","F",1,100,30,3000,"",0.000333333,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2073",2073,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181413,2875,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Weigela.kosteriana.variegata","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",2,300,40,12000,"",0.000166667,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2074",2074,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181414,2877,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Heracleum.sphondylium","Syritta.pipiens","Y","Syrphid","Syritta","M",1,60,200,12000,"",8.33e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ",NA
"2075",2075,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2878,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Weigela.kosteriana.variegata","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,300,40,12000,"",8.33e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2076",2076,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2879,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Rubus.fruticosus","Bombus.pratorum","O","Bumble.Bee","Bombus","F",1,100,30,3000,"",0.000333333,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2077",2077,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181415,2880,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Apis.mellifera","Y","Honey.Bee","Apis","F",1,600,28,16800,"",5.95e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2078",2078,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181416,2881,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Hylaeus.communis","Y","Solitary.Bee","Hylaeus","F",1,600,28,16800,"",5.95e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2079",2079,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2882,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Apis.mellifera","O","Honey.Bee","Apis","F",4,600,28,16800,"",0.000238095,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2080",2080,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181417,2883,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Heracleum.sphondylium","Hylaeus.communis","Y","Solitary.Bee","Hylaeus","M",1,60,200,12000,"",8.33e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2081",2081,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181418,2884,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Heracleum.sphondylium","Syritta.pipiens","Y","Syrphid","Syritta","F",1,60,200,12000,"",8.33e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ",NA
"2082",2082,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2886,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Bombus.muscorum","O","Bumble.Bee","Bombus","F",1,600,28,16800,"",5.95e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2083",2083,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2887,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Syritta.pipiens","O","Syrphid","Syritta","F",1,600,28,16800,"",5.95e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ",NA
"2084",2084,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181419,2888,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,600,28,16800,"",5.95e-05,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2085",2085,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","Y",20181420,2889,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Buddleja.globosa","Bombus.lucorum(agg)","Y","Bumble.Bee","Bombus","F",4,600,28,16800,"",0.000238095,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2086",2086,"Newbridge.Demesne",12,"Industrial","June","Semi Natural","18.6.18","Y","N",NA,2890,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Ranunculus.repens","Apis.mellifera","O","Honey.Bee","Apis","F",2,70,30,2100,"",0.000952381,NA,15,124,8.266666667,"","","Newbridge.DemesneIndustrial","Newbridge.DemesneIndustrialJune","","Semi Natural ","bees"
"2087",2087,"Newbridge.Demesne",12,"Pasture1","June","Semi Natural","18.6.18","N",NA,NA,2891,18,6,18,8,"18.6.18","Cian White","BC1",2,"ND","BC1ND",721522,749810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,500,16.66666667,"","","Newbridge.DemesnePasture1","Newbridge.DemesnePasture1June","","Semi Natural ",NA
"2088",2088,"Newbridge.Demesne",12,"Pasture(244)","June","Semi Natural","18.6.18","Y","Y",20181421,2892,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Ranunculus.repens","Cheiliosa.albitarsis","Y","Syrphid","Cheiliosa","M",1,7500,30,225000,"",4.44e-06,NA,14,488,34.85714286,"","","Newbridge.DemesnePasture(244)","Newbridge.DemesnePasture(244)June","","Semi Natural ",NA
"2089",2089,"Newbridge.Demesne",12,"Pasture(244)","June","Semi Natural","18.6.18","Y","N",NA,2893,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Ranunculus.repens","Diptera","O","Diptera",NA,"F",3,7500,30,225000,"",1.33e-05,NA,14,488,34.85714286,"","","Newbridge.DemesnePasture(244)","Newbridge.DemesnePasture(244)June","","Semi Natural ",NA
"2090",2090,"Newbridge.Demesne",12,"Pasture(244)","June","Semi Natural","18.6.18","Y","Y",20181422,2894,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Ranunculus.repens","Bombus.lapidarius","Y","Bumble.Bee","Bombus","F",9,7500,30,225000,"",4e-05,NA,14,488,34.85714286,"","","Newbridge.DemesnePasture(244)","Newbridge.DemesnePasture(244)June","","Semi Natural ","bees"
"2091",2091,"Newbridge.Demesne",12,"Pasture(244)","June","Semi Natural","18.6.18","Y","N",NA,2900,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Ranunculus.repens","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,7500,30,225000,"",4.44e-06,NA,14,488,34.85714286,"","","Newbridge.DemesnePasture(244)","Newbridge.DemesnePasture(244)June","","Semi Natural ","bees"
"2092",2092,"Newbridge.Demesne",12,"Pasture(244)","June","Semi Natural","18.6.18","Y","N",NA,2901,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Ranunculus.repens","Coleoptera","O","Coleoptera",NA,"F",1,7500,30,225000,"",4.44e-06,NA,14,488,34.85714286,"","","Newbridge.DemesnePasture(244)","Newbridge.DemesnePasture(244)June","","Semi Natural ",NA
"2093",2093,"Newbridge.Demesne",12,"Other.Roads","June","Semi Natural","18.6.18","Y","N",NA,2905,18,6,18,8,"18.6.18","Cian White","GS2",2,"ND","GS2ND",721522,749810,NA,NA,"Vicia.sepium","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,50,34,1700,"",0.000588235,NA,3,42,14,"","","Newbridge.DemesneOther.Roads","Newbridge.DemesneOther.RoadsJune","","Semi Natural ","bees"
"2094",2094,"Newbridge.Demesne",12,"Other.Roads","June","Semi Natural","18.6.18","Y","N",NA,2906,18,6,18,8,"18.6.18","Cian White","GS2",2,"ND","GS2ND",721522,749810,NA,NA,"Vicia.sepium","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,50,34,1700,"",0.000588235,NA,3,42,14,"","","Newbridge.DemesneOther.Roads","Newbridge.DemesneOther.RoadsJune","","Semi Natural ","bees"
"2095",2095,"Newbridge.Demesne",12,"Hedge","June","Semi Natural","18.6.18","N",NA,NA,2907,18,6,18,8,"18.6.18","Cian White","WL1",2,"ND","WL1ND",721522,749810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,6.666666667,"","","Newbridge.DemesneHedge","Newbridge.DemesneHedgeJune","","Semi Natural ",NA
"2096",2096,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","N",NA,2908,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Trifolium.repens","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",4,800,13,10400,"",0.000384615,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2097",2097,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","N",NA,2909,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Ranunculus.acris","Diptera","O","Diptera",NA,"F",2,180,25,4500,"",0.000444444,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ",NA
"2098",2098,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","N",NA,2910,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Potentilla.reptans","Diptera","O","Diptera",NA,"F",5,120,25,3000,"",0.001666667,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ",NA
"2099",2099,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","Y",20181426,2911,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Trifolium.repens","Apis.mellifera","Y","Honey.Bee","Apis","F",4,800,13,10400,"",0.000384615,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2100",2100,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","Y",20181427,2912,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Trifolium.repens","Bombus.lapidarius","Y","Bumble.Bee","Bombus","F",2,800,13,10400,"",0.000192308,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2101",2101,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","Y",20181428,2913,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Trifolium.repens","Bombus.terrestris","Y","Bumble.Bee","Bombus","2M",2,800,13,10400,"",0.000192308,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2102",2102,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","N",NA,2917,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Trifolium.repens","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,800,13,10400,"",9.62e-05,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2103",2103,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","Y",20181430,2918,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Lotus.corniculatus","Bombus.lapidarius","Y","Bumble.Bee","Bombus","F",5,300,16,4800,"",0.001041667,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2104",2104,"Newbridge.Demesne",12,"Sports","June","Semi Natural","18.6.18","Y","Y",20181431,2919,18,6,18,8,"18.6.18","Cian White","GA1",2,"ND","GA1ND",721522,749810,NA,NA,"Lotus.corniculatus","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,300,16,4800,"",0.000208333,NA,19,268,14.10526316,"","","Newbridge.DemesneSports","Newbridge.DemesneSportsJune","","Semi Natural ","bees"
"2105",2105,"Newbridge.Demesne",12,"Dis.Dense","June","Semi Natural","18.6.18","Y","Y",20181432,2921,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Weigela.kosteriana.variegata","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,100,40,4000,"",0.00025,NA,7,82,11.71428571,"","","Newbridge.DemesneDis.Dense","Newbridge.DemesneDis.DenseJune","","Semi Natural ","bees"
"2106",2106,"Newbridge.Demesne",12,"Dis.Dense","June","Semi Natural","18.6.18","Y","Y",20181433,2922,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Digitalis.purpurea","Bombus.pascorum","Y","Bumble.Bee","Bombus","F",1,105,50,5250,"",0.000190476,NA,7,82,11.71428571,"","","Newbridge.DemesneDis.Dense","Newbridge.DemesneDis.DenseJune","","Semi Natural ","bees"
"2107",2107,"Newbridge.Demesne",12,"Dis.Dense","June","Semi Natural","18.6.18","Y","N",NA,2923,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Salvia.microphylla","Bombus.lucorum(agg)","O","Bumble.Bee","Bombus","F",1,120,25,3000,"",0.000333333,NA,7,82,11.71428571,"","","Newbridge.DemesneDis.Dense","Newbridge.DemesneDis.DenseJune","","Semi Natural ","bees"
"2108",2108,"Newbridge.Demesne",12,"Dis.Dense","June","Semi Natural","18.6.18","Y","Y",20181434,2924,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Tanacetum.parthenium","Syrphus.vitripennis","Y","Syrphid","Syrphus","M",1,15,20,300,"",0.003333333,NA,7,82,11.71428571,"","","Newbridge.DemesneDis.Dense","Newbridge.DemesneDis.DenseJune","","Semi Natural ",NA
"2109",2109,"Newbridge.Demesne",12,"Dis.Medium","June","Semi Natural","18.6.18","Y","Y",20181435,2925,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Trifolium.repens","Apis.mellifera","Y","Honey.Bee","Apis","F",1,80,13,1040,"",0.000961538,NA,4,62,15.5,"","","Newbridge.DemesneDis.Medium","Newbridge.DemesneDis.MediumJune","","Semi Natural ","bees"
"2110",2110,"Newbridge.Demesne",12,"Dis.Medium","June","Semi Natural","18.6.18","Y","Y",20181436,2926,18,6,18,8,"18.6.18","Cian White","BC4",2,"ND","BC4ND",721522,749810,NA,NA,"Senecio.greyii","Bombus.pratorum","Y","Bumble.Bee","Bombus","M",1,35,30,1050,"",0.000952381,NA,4,62,15.5,"","","Newbridge.DemesneDis.Medium","Newbridge.DemesneDis.MediumJune","","Semi Natural ","bees"
